sex,source_label,age_bin_label,count,mae,mse
F,generated_val,5-10,16,1.9375,6.0
F,generated_val,10-15,23,3.9782608695652173,21.641304347826086
F,generated_val,15-20,4,5.25,38.25
F,generated_val,20-25,24,2.7083333333333335,13.75
F,generated_val,25-30,77,5.175324675324675,30.198051948051948
F,generated_val,30-35,84,2.511904761904762,14.321428571428571
F,generated_val,35-40,18,3.4444444444444446,13.583333333333334
F,generated_val,40-45,1,8.5,72.25
F,generated_val,45-50,1,9.5,90.25
F,generated_val,50-55,1,15.5,240.25
F,generated_val,55-60,20,6.45,91.65
F,generated_val,60-65,28,5.0,35.107142857142854
F,generated_val,65-70,99,4.52020202020202,34.128787878787875
F,generated_val,70-75,205,5.2560975609756095,36.02560975609756
F,generated_val,75-80,205,3.5585365853658537,26.201219512195124
F,generated_val,80-85,126,4.825396825396825,33.50396825396825
F,generated_val,85-90,49,3.561224489795918,18.04591836734694
F,generated_val,90-95,10,2.8,12.65
F,generated_val,95-100,1,6.5,42.25
F,real_test,5-10,82,1.4811483999577963,2.6152543291063726
F,real_test,10-15,114,4.244216567591617,21.03527401549235
F,real_test,15-20,22,5.370151563124224,39.400395602767894
F,real_test,20-25,119,6.850129424023027,84.90336032214189
F,real_test,25-30,387,8.376883982379923,90.49620978613667
F,real_test,30-35,418,8.491555026843788,103.1167726280395
F,real_test,35-40,90,8.333333333333334,105.13888888888889
F,real_test,40-45,2,23.06999969482422,696.3210211029073
F,real_test,45-50,3,18.77666727701823,427.0350009338387
F,real_test,50-55,4,7.074999809265137,54.21249790191723
F,real_test,55-60,102,6.522549049527037,108.97970745161572
F,real_test,60-65,140,5.462142780848912,59.28464177813044
F,real_test,65-70,496,5.370161194955149,60.666247359864606
F,real_test,70-75,1025,6.155219399056784,54.21831142042684
F,real_test,75-80,1025,6.261756383384147,63.558942813636484
F,real_test,80-85,630,7.26968260265532,73.00852484034415
F,real_test,85-90,244,5.347951294945889,32.421030389758585
F,real_test,90-95,48,2.1999993324279785,10.315826969152113
F,real_test,95-100,6,3.0666681925455728,9.530009257005682
M,generated_val,5-10,34,1.4411764705882353,2.838235294117647
M,generated_val,10-15,63,3.7857142857142856,17.996031746031747
M,generated_val,15-20,29,3.293103448275862,16.04310344827586
M,generated_val,20-25,53,3.8207547169811322,25.15566037735849
M,generated_val,25-30,87,5.212643678160919,30.50287356321839
M,generated_val,30-35,55,2.481818181818182,19.086363636363636
M,generated_val,35-40,8,3.125,14.0
M,generated_val,40-45,3,8.166666666666666,86.91666666666667
M,generated_val,45-50,2,8.0,64.25
M,generated_val,50-55,1,14.5,210.25
M,generated_val,55-60,4,6.5,100.75
M,generated_val,60-65,20,4.95,29.65
M,generated_val,65-70,69,3.818840579710145,25.96014492753623
M,generated_val,70-75,189,4.441798941798941,24.451058201058203
M,generated_val,75-80,196,3.311224489795918,21.321428571428573
M,generated_val,80-85,142,4.823943661971831,33.44718309859155
M,generated_val,85-90,75,4.38,24.543333333333333
M,generated_val,90-95,17,1.6176470588235294,4.720588235294118
M,real_test,5-10,170,1.825984135796042,38.380830541060554
M,real_test,10-15,317,5.443701611708391,98.48238209103991
M,real_test,15-20,144,8.61621019575331,192.12971547236296
M,real_test,20-25,265,9.922514300076466,243.83072638996398
M,real_test,25-30,435,10.197457925204573,179.69711384845988
M,real_test,30-35,275,10.445806302157315,153.1376323447905
M,real_test,35-40,39,18.50224098792443,491.270982609545
M,real_test,40-45,13,17.176923018235428,371.84230399498597
M,real_test,45-50,8,17.375,358.75
M,real_test,50-55,2,5.0,27.25
M,real_test,55-60,22,9.695454510775479,133.88590917413967
M,real_test,60-65,100,8.021999969482422,91.47899911499204
M,real_test,65-70,346,8.078901941376614,89.14933853502694
M,real_test,70-75,947,7.103168056532347,71.97513395670428
M,real_test,75-80,980,6.643265323249661,71.27018541173044
M,real_test,80-85,708,7.532203351036977,73.38395389320236
M,real_test,85-90,375,5.219733215332031,31.150131848148227
M,real_test,90-95,86,1.7604650453079578,5.108605080541375
