age_bin,age_bin_label,sex,real_available,generated_available,selected_per_source,status
0,5-10,F,82,1025,82,selected
0,5-10,M,170,1025,170,selected
1,10-15,F,114,1025,114,selected
1,10-15,M,317,1025,317,selected
2,15-20,F,22,1025,22,selected
2,15-20,M,144,1025,144,selected
3,20-25,F,119,1025,119,selected
3,20-25,M,265,1025,265,selected
4,25-30,F,387,1025,387,selected
4,25-30,M,435,1025,435,selected
5,30-35,F,418,1025,418,selected
5,30-35,M,275,1025,275,selected
6,35-40,F,90,1025,90,selected
6,35-40,M,39,1025,39,selected
7,40-45,F,2,1025,2,selected
7,40-45,M,13,1025,13,selected
8,45-50,F,3,1025,3,selected
8,45-50,M,8,1025,8,selected
9,50-55,F,4,1025,4,selected
9,50-55,M,2,1025,2,selected
10,55-60,F,102,1025,102,selected
10,55-60,M,22,1025,22,selected
11,60-65,F,140,1025,140,selected
11,60-65,M,100,1025,100,selected
12,65-70,F,496,1025,496,selected
12,65-70,M,346,1025,346,selected
13,70-75,F,1108,1025,1025,selected
13,70-75,M,947,1025,947,selected
14,75-80,F,1115,1025,1025,selected
14,75-80,M,980,1025,980,selected
15,80-85,F,630,1025,630,selected
15,80-85,M,708,1025,708,selected
16,85-90,F,244,1025,244,selected
16,85-90,M,375,1025,375,selected
17,90-95,F,48,1025,48,selected
17,90-95,M,86,1025,86,selected
18,95-100,F,6,1025,6,selected
18,95-100,M,1,1025,0,excluded_insufficient_pair_count
19,100-105,F,0,1230,0,excluded_insufficient_pair_count
19,100-105,M,1,1230,0,excluded_insufficient_pair_count
