age_bin,age_bin_label,sex,real_selected,generated_selected
0,5-10,F,82,82
0,5-10,M,170,170
1,10-15,F,114,114
1,10-15,M,317,317
2,15-20,F,22,22
2,15-20,M,144,144
3,20-25,F,119,119
3,20-25,M,265,265
4,25-30,F,387,387
4,25-30,M,435,435
5,30-35,F,418,418
5,30-35,M,275,275
6,35-40,F,90,90
6,35-40,M,39,39
7,40-45,F,2,2
7,40-45,M,13,13
8,45-50,F,3,3
8,45-50,M,8,8
9,50-55,F,4,4
9,50-55,M,2,2
10,55-60,F,102,102
10,55-60,M,22,22
11,60-65,F,140,140
11,60-65,M,100,100
12,65-70,F,496,496
12,65-70,M,346,346
13,70-75,F,1025,1025
13,70-75,M,947,947
14,75-80,F,1025,1025
14,75-80,M,980,980
15,80-85,F,630,630
15,80-85,M,708,708
16,85-90,F,244,244
16,85-90,M,375,375
17,90-95,F,48,48
17,90-95,M,86,86
18,95-100,F,6,6
