source,age_bin,age_bin_label,sex,total,train,val,status
generated,0,5-10,F,82,66,16,split
generated,0,5-10,M,170,136,34,split
generated,1,10-15,F,114,91,23,split
generated,1,10-15,M,317,254,63,split
generated,2,15-20,F,22,18,4,split
generated,2,15-20,M,144,115,29,split
generated,3,20-25,F,119,95,24,split
generated,3,20-25,M,265,212,53,split
generated,4,25-30,F,387,310,77,split
generated,4,25-30,M,435,348,87,split
generated,5,30-35,F,418,334,84,split
generated,5,30-35,M,275,220,55,split
generated,6,35-40,F,90,72,18,split
generated,6,35-40,M,39,31,8,split
generated,7,40-45,F,2,1,1,split
generated,7,40-45,M,13,10,3,split
generated,8,45-50,F,3,2,1,split
generated,8,45-50,M,8,6,2,split
generated,9,50-55,F,4,3,1,split
generated,9,50-55,M,2,1,1,split
generated,10,55-60,F,102,82,20,split
generated,10,55-60,M,22,18,4,split
generated,11,60-65,F,140,112,28,split
generated,11,60-65,M,100,80,20,split
generated,12,65-70,F,496,397,99,split
generated,12,65-70,M,346,277,69,split
generated,13,70-75,F,1025,820,205,split
generated,13,70-75,M,947,758,189,split
generated,14,75-80,F,1025,820,205,split
generated,14,75-80,M,980,784,196,split
generated,15,80-85,F,630,504,126,split
generated,15,80-85,M,708,566,142,split
generated,16,85-90,F,244,195,49,split
generated,16,85-90,M,375,300,75,split
generated,17,90-95,F,48,38,10,split
generated,17,90-95,M,86,69,17,split
generated,18,95-100,F,6,5,1,split
