sex,source_label,age_bin_label,count,mae,mse
F,generated_test,5-10,82,10.817073170731707,136.59146341463415
F,generated_test,10-15,114,9.631578947368421,119.88157894736842
F,generated_test,15-20,22,9.818181818181818,116.88636363636364
F,generated_test,20-25,119,8.978991596638656,104.85504201680672
F,generated_test,25-30,387,6.391472868217054,62.3843669250646
F,generated_test,30-35,418,5.043062200956938,28.379186602870814
F,generated_test,35-40,90,1.7555555555555555,7.472222222222222
F,generated_test,40-45,2,6.0,42.25
F,generated_test,45-50,3,11.833333333333334,150.91666666666666
F,generated_test,50-55,4,14.75,243.75
F,generated_test,55-60,102,8.284313725490197,119.50490196078431
F,generated_test,60-65,140,4.621428571428571,54.19285714285714
F,generated_test,65-70,496,5.300403225806452,58.814516129032256
F,generated_test,70-75,1025,4.491219512195122,45.52804878048781
F,generated_test,75-80,1025,3.458048780487805,27.557317073170733
F,generated_test,80-85,630,4.468253968253968,25.961111111111112
F,generated_test,85-90,244,7.110655737704918,58.807377049180324
F,generated_test,90-95,48,9.270833333333334,97.83333333333333
F,generated_test,95-100,6,15.166666666666666,248.91666666666666
F,real_val,5-10,16,1.888960063457489,4.535313245231407
F,real_val,10-15,23,2.7196782982867695,9.376581649150546
F,real_val,15-20,4,3.3299999237060547,18.163748588562157
F,real_val,20-25,24,3.728749990463257,15.857187530199704
F,real_val,25-30,77,2.4740259740259742,34.717532467532465
F,real_val,30-35,84,4.440476190476191,22.107142857142858
F,real_val,35-40,18,4.222222222222222,24.47222222222222
F,real_val,40-45,1,25.259998321533203,638.0675152038602
F,real_val,45-50,1,11.069999694824219,122.5448932434083
F,real_val,50-55,1,4.0,16.0
F,real_val,55-60,20,3.7399999618530275,94.18700695800871
F,real_val,60-65,28,2.446429116385324,8.899646737236512
F,real_val,65-70,99,3.834343727188881,24.64808217675197
F,real_val,70-75,205,3.916097464212557,23.34819483464362
F,real_val,75-80,205,2.578536689572218,14.497952272001337
F,real_val,80-85,126,2.7365080212789867,15.190318082784033
F,real_val,85-90,49,2.187754728356186,12.71101879509527
F,real_val,90-95,10,1.9699996948242187,5.68100103760371
F,real_val,95-100,1,2.8000030517578125,7.840017089853063
M,generated_test,5-10,170,10.135294117647058,110.92058823529412
M,generated_test,10-15,317,8.541009463722398,100.28785488958991
M,generated_test,15-20,144,8.67361111111111,103.97222222222223
M,generated_test,20-25,265,7.9,96.34811320754717
M,generated_test,25-30,435,5.189655172413793,46.87068965517241
M,generated_test,30-35,275,4.8090909090909095,30.453636363636363
M,generated_test,35-40,39,2.91025641025641,19.634615384615383
M,generated_test,40-45,13,9.5,119.48076923076923
M,generated_test,45-50,8,10.75,129.25
M,generated_test,50-55,2,18.5,358.25
M,generated_test,55-60,22,8.954545454545455,138.3409090909091
M,generated_test,60-65,100,5.56,62.51
M,generated_test,65-70,346,4.7601156069364166,35.463872832369944
M,generated_test,70-75,947,3.312038014783527,19.052534318901795
M,generated_test,75-80,980,2.5408163265306123,13.28061224489796
M,generated_test,80-85,708,3.9364406779661016,20.72457627118644
M,generated_test,85-90,375,5.785333333333333,42.634
M,generated_test,90-95,86,8.883720930232558,90.36627906976744
M,real_val,5-10,34,2.319131472531487,8.359980880862777
M,real_val,10-15,63,2.3034961639888705,7.658214951798275
M,real_val,15-20,29,1.8367805809810245,4.459524808711806
M,real_val,20-25,53,3.88783771586868,20.646762143167265
M,real_val,25-30,87,2.7637191640919654,30.211125322226906
M,real_val,30-35,55,4.747712707519531,27.96802532322472
M,real_val,35-40,8,7.727212429046631,123.43746315370117
M,real_val,40-45,3,19.5,398.9166666666667
M,real_val,45-50,2,21.5,511.25
M,real_val,50-55,1,11.5,132.25
M,real_val,55-60,4,4.850000381469727,34.33500675201503
M,real_val,60-65,20,3.350000190734863,30.102999336245556
M,real_val,65-70,69,3.8884058413298233,23.242464550963156
M,real_val,70-75,189,3.6989418716026994,17.943229649462626
M,real_val,75-80,196,2.2530612556301817,9.69622454273916
M,real_val,80-85,142,2.4112677775638205,9.422959280958642
M,real_val,85-90,75,1.8466663614908854,5.00919927165145
M,real_val,90-95,17,2.117646610035616,6.260000951434074
