sex,source_label,age_bin_label,count,mae,mse
F,generated_val,5-10,51,3.0098039215686274,30.602941176470587
F,generated_val,10-15,51,8.42156862745098,100.01470588235294
F,generated_val,15-20,51,9.735294117647058,98.68137254901961
F,generated_val,20-25,51,5.931372549019608,40.799019607843135
F,generated_val,25-30,51,1.6372549019607843,11.269607843137255
F,generated_val,30-35,51,5.676470588235294,45.700980392156865
F,generated_val,35-40,51,9.5,99.66176470588235
F,generated_val,40-45,51,13.303921568627452,214.44607843137254
F,generated_val,45-50,51,11.872549019607844,201.4264705882353
F,generated_val,50-55,51,12.22549019607843,317.9362745098039
F,generated_val,55-60,51,11.754901960784315,477.4656862745098
F,generated_val,60-65,51,13.970588235294118,639.4264705882352
F,generated_val,65-70,51,14.343137254901961,580.093137254902
F,generated_val,70-75,51,18.892156862745097,828.9558823529412
F,generated_val,75-80,51,20.95098039215686,892.6029411764706
F,generated_val,80-85,51,16.225490196078432,655.3088235294117
F,generated_val,85-90,51,6.362745098039215,94.75980392156863
F,generated_val,90-95,51,9.813725490196079,158.36764705882354
F,generated_val,95-100,51,10.519607843137255,150.36764705882354
F,generated_val,100-105,51,13.245098039215685,394.6813725490196
F,real_test,5-10,82,1.463440412428321,2.526714391458995
F,real_test,10-15,114,4.486672702588533,22.273870496681745
F,real_test,15-20,22,9.14833333275535,91.96857638057773
F,real_test,20-25,119,8.3360117743997,97.37692286727713
F,real_test,25-30,387,9.736005428225495,132.26205458958455
F,real_test,30-35,418,11.594569375070089,177.15433217382113
F,real_test,35-40,90,13.066666666666666,201.25
F,real_test,40-45,2,15.569999694824219,242.52099134826858
F,real_test,45-50,3,33.84333292643229,1160.6682711975106
F,real_test,50-55,4,34.92500019073486,1540.9625188827522
F,real_test,55-60,102,40.897058748731425,2028.1267639564076
F,real_test,60-65,140,44.77214300973075,2429.770379987446
F,real_test,65-70,496,48.0725805067247,2818.797281503374
F,real_test,70-75,1025,46.185853651093275,2775.439448188898
F,real_test,75-80,1025,37.285951218023534,2260.626724413472
F,real_test,80-85,630,28.192222231910343,1786.7672493557445
F,real_test,85-90,244,26.649590163934427,1940.4988663482707
F,real_test,90-95,48,23.654167016347248,1651.649162209834
F,real_test,95-100,6,8.066668192545572,65.19669118246141
M,generated_val,5-10,51,1.9509803921568627,13.387254901960784
M,generated_val,10-15,51,7.166666666666667,73.93627450980392
M,generated_val,15-20,51,8.656862745098039,81.54411764705883
M,generated_val,20-25,51,7.205882352941177,71.34803921568627
M,generated_val,25-30,51,3.0686274509803924,32.52450980392157
M,generated_val,30-35,51,5.990196078431373,48.21078431372549
M,generated_val,35-40,51,10.598039215686274,133.74019607843138
M,generated_val,40-45,51,12.598039215686274,202.9558823529412
M,generated_val,45-50,51,13.696078431372548,277.3480392156863
M,generated_val,50-55,51,14.205882352941176,376.13235294117646
M,generated_val,55-60,51,6.872549019607843,211.4264705882353
M,generated_val,60-65,51,10.931372549019608,451.6617647058824
M,generated_val,65-70,51,9.598039215686274,257.4656862745098
M,generated_val,70-75,51,17.715686274509803,743.5441176470588
M,generated_val,75-80,51,12.53921568627451,232.91666666666666
M,generated_val,80-85,51,12.970588235294118,437.4264705882353
M,generated_val,85-90,51,9.323529411764707,426.21078431372547
M,generated_val,90-95,51,8.362745098039216,231.15196078431373
M,generated_val,95-100,51,8.813725490196079,82.52450980392157
M,generated_val,100-105,51,11.284313725490197,180.40686274509804
M,real_test,5-10,170,1.3737973493688247,2.296769703819775
M,real_test,10-15,317,4.608804230434285,23.11644191280955
M,real_test,15-20,144,9.595524072647095,94.41203321672398
M,real_test,20-25,265,11.208871560726525,150.92392275503252
M,real_test,25-30,435,13.198839687478953,213.39565630086648
M,real_test,30-35,275,15.714274430708452,282.7190420765687
M,real_test,35-40,39,22.953143682235325,573.1866834731142
M,real_test,40-45,13,24.09999994131235,678.7653838524454
M,real_test,45-50,8,26.75,901.25
M,real_test,50-55,2,7.5,72.25
M,real_test,55-60,22,25.831818147139117,1203.885917843906
M,real_test,60-65,100,37.97599998474121,2018.749003387453
M,real_test,65-70,346,42.632658875746536,2407.288047189883
M,real_test,70-75,947,37.947729559861116,2158.637210284422
M,real_test,75-80,980,30.641020412834322,1723.3650770182755
M,real_test,80-85,708,26.7816383016985,1663.4545711594963
M,real_test,85-90,375,16.24746657307943,996.8301304239945
M,real_test,90-95,86,10.127907509027525,460.4690824393372
