source,age_bin,age_bin_label,sex,total,train,val,status
generated,0,5-10,F,255,204,51,split
generated,0,5-10,M,255,204,51,split
generated,1,10-15,F,255,204,51,split
generated,1,10-15,M,255,204,51,split
generated,2,15-20,F,255,204,51,split
generated,2,15-20,M,255,204,51,split
generated,3,20-25,F,254,203,51,split
generated,3,20-25,M,255,204,51,split
generated,4,25-30,F,255,204,51,split
generated,4,25-30,M,255,204,51,split
generated,5,30-35,F,255,204,51,split
generated,5,30-35,M,254,203,51,split
generated,6,35-40,F,255,204,51,split
generated,6,35-40,M,254,203,51,split
generated,7,40-45,F,255,204,51,split
generated,7,40-45,M,254,203,51,split
generated,8,45-50,F,255,204,51,split
generated,8,45-50,M,255,204,51,split
generated,9,50-55,F,255,204,51,split
generated,9,50-55,M,255,204,51,split
generated,10,55-60,F,255,204,51,split
generated,10,55-60,M,255,204,51,split
generated,11,60-65,F,254,203,51,split
generated,11,60-65,M,255,204,51,split
generated,12,65-70,F,255,204,51,split
generated,12,65-70,M,255,204,51,split
generated,13,70-75,F,254,203,51,split
generated,13,70-75,M,254,203,51,split
generated,14,75-80,F,255,204,51,split
generated,14,75-80,M,254,203,51,split
generated,15,80-85,F,255,204,51,split
generated,15,80-85,M,255,204,51,split
generated,16,85-90,F,255,204,51,split
generated,16,85-90,M,254,203,51,split
generated,17,90-95,F,254,203,51,split
generated,17,90-95,M,255,204,51,split
generated,18,95-100,F,255,204,51,split
generated,18,95-100,M,254,203,51,split
generated,19,100-105,F,255,204,51,split
generated,19,100-105,M,255,204,51,split
