age_bin,age_bin_label,sex,real_selected,generated_selected
0,5-10,F,82,255
0,5-10,M,170,255
1,10-15,F,114,255
1,10-15,M,317,255
2,15-20,F,22,255
2,15-20,M,144,255
3,20-25,F,119,254
3,20-25,M,265,255
4,25-30,F,387,255
4,25-30,M,435,255
5,30-35,F,418,255
5,30-35,M,275,254
6,35-40,F,90,255
6,35-40,M,39,254
7,40-45,F,2,255
7,40-45,M,13,254
8,45-50,F,3,255
8,45-50,M,8,255
9,50-55,F,4,255
9,50-55,M,2,255
10,55-60,F,102,255
10,55-60,M,22,255
11,60-65,F,140,254
11,60-65,M,100,255
12,65-70,F,496,255
12,65-70,M,346,255
13,70-75,F,1025,254
13,70-75,M,947,254
14,75-80,F,1025,255
14,75-80,M,980,254
15,80-85,F,630,255
15,80-85,M,708,255
16,85-90,F,244,255
16,85-90,M,375,254
17,90-95,F,48,254
17,90-95,M,86,255
18,95-100,F,6,255
18,95-100,M,0,254
19,100-105,F,0,255
19,100-105,M,0,255
