source,age_bin,age_bin_label,sex,total,train,val,test,status
real,0,5-10,F,82,32,9,41,split
real,0,5-10,M,170,67,17,86,split
real,1,10-15,F,114,46,11,57,split
real,1,10-15,M,317,127,32,158,split
real,2,15-20,F,22,9,3,10,split
real,2,15-20,M,144,57,14,73,split
real,3,20-25,F,119,47,11,61,split
real,3,20-25,M,265,106,27,132,split
real,4,25-30,F,387,155,38,194,split
real,4,25-30,M,435,174,44,217,split
real,5,30-35,F,418,168,41,209,split
real,5,30-35,M,275,110,27,138,split
real,6,35-40,F,90,35,9,46,split
real,6,35-40,M,39,16,4,19,split
real,7,40-45,F,2,1,1,0,split
real,7,40-45,M,13,5,1,7,split
real,8,45-50,F,3,2,0,1,split
real,8,45-50,M,8,4,0,4,split
real,9,50-55,F,4,2,0,2,split
real,9,50-55,M,2,1,0,1,split
real,10,55-60,F,102,40,11,51,split
real,10,55-60,M,22,9,3,10,split
real,11,60-65,F,140,55,15,70,split
real,11,60-65,M,100,40,10,50,split
real,12,65-70,F,496,198,49,249,split
real,12,65-70,M,346,138,34,174,split
real,13,70-75,F,1025,409,103,513,split
real,13,70-75,M,947,378,94,475,split
real,14,75-80,F,1025,410,102,513,split
real,14,75-80,M,980,392,99,489,split
real,15,80-85,F,630,252,63,315,split
real,15,80-85,M,708,284,70,354,split
real,16,85-90,F,244,98,25,121,split
real,16,85-90,M,375,150,38,187,split
real,17,90-95,F,48,20,4,24,split
real,17,90-95,M,86,35,9,42,split
real,18,95-100,F,6,3,1,2,split
generated,0,5-10,F,82,32,8,42,split
generated,0,5-10,M,170,68,17,85,split
generated,1,10-15,F,114,45,12,57,split
generated,1,10-15,M,317,127,31,159,split
generated,2,15-20,F,22,9,2,11,split
generated,2,15-20,M,144,58,14,72,split
generated,3,20-25,F,119,48,12,59,split
generated,3,20-25,M,265,106,26,133,split
generated,4,25-30,F,387,155,39,193,split
generated,4,25-30,M,435,174,43,218,split
generated,5,30-35,F,418,167,42,209,split
generated,5,30-35,M,275,110,28,137,split
generated,6,35-40,F,90,35,10,45,split
generated,6,35-40,M,39,15,4,20,split
generated,7,40-45,F,2,1,0,1,split
generated,7,40-45,M,13,6,2,5,split
generated,8,45-50,F,3,1,0,2,split
generated,8,45-50,M,8,4,0,4,split
generated,9,50-55,F,4,2,1,1,split
generated,9,50-55,M,2,0,0,2,split
generated,10,55-60,F,102,41,11,50,split
generated,10,55-60,M,22,9,2,11,split
generated,11,60-65,F,140,55,15,70,split
generated,11,60-65,M,100,40,10,50,split
generated,12,65-70,F,496,198,49,249,split
generated,12,65-70,M,346,138,35,173,split
generated,13,70-75,F,1025,410,102,513,split
generated,13,70-75,M,947,379,94,474,split
generated,14,75-80,F,1025,409,103,513,split
generated,14,75-80,M,980,392,99,489,split
generated,15,80-85,F,630,252,64,314,split
generated,15,80-85,M,708,284,70,354,split
generated,16,85-90,F,244,98,25,121,split
generated,16,85-90,M,375,149,37,189,split
generated,17,90-95,F,48,20,4,24,split
generated,17,90-95,M,86,35,9,42,split
generated,18,95-100,F,6,3,0,3,split
