sex,source_label,age_bin_label,count,mae,mse
F,generated_test,5-10,42,1.9761904761904763,8.869047619047619
F,generated_test,10-15,57,5.114035087719298,32.84649122807018
F,generated_test,15-20,11,3.1363636363636362,14.977272727272727
F,generated_test,20-25,59,3.1440677966101696,16.860169491525422
F,generated_test,25-30,193,3.8575129533678756,21.84585492227979
F,generated_test,30-35,209,6.523923444976076,50.202153110047846
F,generated_test,35-40,45,9.833333333333334,105.13888888888889
F,generated_test,40-45,1,17.5,306.25
F,generated_test,45-50,2,16.0,298.25
F,generated_test,50-55,1,6.5,42.25
F,generated_test,55-60,50,5.66,81.25
F,generated_test,60-65,70,3.2,17.42142857142857
F,generated_test,65-70,249,4.524096385542169,33.631526104417674
F,generated_test,70-75,513,5.2329434697855755,41.70029239766082
F,generated_test,75-80,513,4.9035087719298245,40.11744639376219
F,generated_test,80-85,314,3.929936305732484,30.472929936305732
F,generated_test,85-90,121,5.309917355371901,37.73760330578512
F,generated_test,90-95,24,3.1666666666666665,20.666666666666668
F,generated_test,95-100,3,5.166666666666667,28.25
F,real_test,5-10,41,1.4391118607869962,2.4140124551884017
F,real_test,10-15,57,4.461159672653466,22.610423458366537
F,real_test,15-20,10,2.79566650390625,16.654140460595226
F,real_test,20-25,61,3.205573754232438,16.077373757834543
F,real_test,25-30,194,2.3863917576898004,10.946048548794783
F,real_test,30-35,209,4.73444976076555,27.264354066985646
F,real_test,35-40,46,6.108695652173913,48.42391304347826
F,real_test,45-50,1,15.900001525878906,252.81004852295155
F,real_test,50-55,2,6.850000381469727,51.54500358581572
F,real_test,55-60,51,4.488235324036841,80.48843443328366
F,real_test,60-65,70,3.311428724016462,17.52428753444318
F,real_test,65-70,249,4.24819284462067,33.78112228577826
F,real_test,70-75,513,4.418518661290814,29.446024610736085
F,real_test,75-80,513,4.339765953971164,34.428010980860165
F,real_test,80-85,315,4.574920508975074,66.8137442849824
F,real_test,85-90,121,6.51156963001598,56.79462149123948
F,real_test,90-95,24,4.524999300638835,31.919157816574927
F,real_test,95-100,2,3.3000030517578125,10.890020141610876
M,generated_test,5-10,85,2.2058823529411766,12.673529411764706
M,generated_test,10-15,159,4.745283018867925,25.985849056603772
M,generated_test,15-20,72,5.652777777777778,44.611111111111114
M,generated_test,20-25,133,3.417293233082707,30.866541353383457
M,generated_test,25-30,218,4.678899082568807,32.52522935779817
M,generated_test,30-35,137,8.135036496350365,77.25729927007299
M,generated_test,35-40,20,10.15,128.15
M,generated_test,40-45,5,11.9,191.85
M,generated_test,45-50,4,15.0,232.25
M,generated_test,50-55,2,13.0,175.25
M,generated_test,55-60,11,7.409090909090909,75.52272727272727
M,generated_test,60-65,50,4.0,34.53
M,generated_test,65-70,173,4.0606936416184976,26.608381502890172
M,generated_test,70-75,474,4.447257383966245,28.76054852320675
M,generated_test,75-80,489,4.254601226993865,33.29294478527607
M,generated_test,80-85,354,5.313559322033898,44.713276836158194
M,generated_test,85-90,189,5.082010582010582,30.62037037037037
M,generated_test,90-95,42,3.142857142857143,23.773809523809526
M,real_test,5-10,86,1.465882661730744,3.0147339905056283
M,real_test,10-15,158,4.266883451727372,20.405747902727462
M,real_test,15-20,73,4.809018187326927,36.91216507394079
M,real_test,20-25,132,4.384757822210139,65.24449538371051
M,real_test,25-30,217,3.8142661960443593,42.29870353155984
M,real_test,30-35,138,6.938783369202545,78.19927569964932
M,real_test,35-40,19,12.488026066830283,223.68013284535922
M,real_test,40-45,7,16.714285714285715,302.5
M,real_test,45-50,4,14.75,229.25
M,real_test,50-55,1,3.5,12.25
M,real_test,55-60,10,4.8599998474121096,39.849999008179296
M,real_test,60-65,50,2.1580003356933593,12.154602056886652
M,real_test,65-70,174,3.3189656926297593,21.857183469579844
M,real_test,70-75,475,4.349684030633224,33.283219508767914
M,real_test,75-80,489,3.8490795299319402,27.567360063491282
M,real_test,80-85,354,5.496327782754844,70.45426686346616
M,real_test,85-90,187,5.112299587637345,30.455188353843226
M,real_test,90-95,42,2.0404759361630393,7.67309584118387
