age_bin,age_bin_label,sex,real_selected,generated_selected
0,5-10,F,53,202
0,5-10,M,110,145
1,10-15,F,75,180
1,10-15,M,127,128
2,15-20,F,8,247
2,15-20,M,62,192
3,20-25,F,73,182
3,20-25,M,127,128
4,25-30,F,127,128
4,25-30,M,127,128
5,30-35,F,127,128
5,30-35,M,127,128
6,35-40,F,35,220
6,35-40,M,15,240
7,40-45,F,1,254
7,40-45,M,6,249
8,45-50,F,1,254
8,45-50,M,3,251
9,50-55,F,2,253
9,50-55,M,1,254
10,55-60,F,64,190
10,55-60,M,9,246
11,60-65,F,94,161
11,60-65,M,38,217
12,65-70,F,127,127
12,65-70,M,127,128
13,70-75,F,127,127
13,70-75,M,127,127
14,75-80,F,127,128
14,75-80,M,127,127
15,80-85,F,127,128
15,80-85,M,127,128
16,85-90,F,127,128
16,85-90,M,127,127
17,90-95,F,18,237
17,90-95,M,52,203
18,95-100,F,2,252
18,95-100,M,0,255
19,100-105,F,0,254
19,100-105,M,0,254
