source,age_bin,age_bin_label,sex,split,target,real,generated,status
mixed,0,5-10,F,train,203,23,180,peak_valley
mixed,0,5-10,F,val,51,6,45,peak_valley
mixed,0,5-10,F,test,255,53,202,peak_valley
mixed,0,5-10,M,train,204,45,159,peak_valley
mixed,0,5-10,M,val,51,15,36,peak_valley
mixed,0,5-10,M,test,255,110,145,peak_valley
mixed,1,10-15,F,train,204,32,172,peak_valley
mixed,1,10-15,F,val,51,7,44,peak_valley
mixed,1,10-15,F,test,255,75,180,peak_valley
mixed,1,10-15,M,train,203,101,102,peak_valley
mixed,1,10-15,M,val,51,25,26,peak_valley
mixed,1,10-15,M,test,255,127,128,peak_valley
mixed,2,15-20,F,train,203,12,191,peak_valley
mixed,2,15-20,F,val,51,2,49,peak_valley
mixed,2,15-20,F,test,255,8,247,peak_valley
mixed,2,15-20,M,train,204,62,142,peak_valley
mixed,2,15-20,M,val,51,20,31,peak_valley
mixed,2,15-20,M,test,254,62,192,peak_valley
mixed,3,20-25,F,train,204,40,164,peak_valley
mixed,3,20-25,F,val,51,6,45,peak_valley
mixed,3,20-25,F,test,255,73,182,peak_valley
mixed,3,20-25,M,train,204,102,102,peak_valley
mixed,3,20-25,M,val,51,25,26,peak_valley
mixed,3,20-25,M,test,255,127,128,peak_valley
mixed,4,25-30,F,train,204,102,102,peak_valley
mixed,4,25-30,F,val,51,25,26,peak_valley
mixed,4,25-30,F,test,255,127,128,peak_valley
mixed,4,25-30,M,train,204,102,102,peak_valley
mixed,4,25-30,M,val,51,25,26,peak_valley
mixed,4,25-30,M,test,255,127,128,peak_valley
mixed,5,30-35,F,train,204,102,102,peak_valley
mixed,5,30-35,F,val,51,25,26,peak_valley
mixed,5,30-35,F,test,255,127,128,peak_valley
mixed,5,30-35,M,train,203,101,102,peak_valley
mixed,5,30-35,M,val,51,25,26,peak_valley
mixed,5,30-35,M,test,255,127,128,peak_valley
mixed,6,35-40,F,train,203,48,155,peak_valley
mixed,6,35-40,F,val,51,7,44,peak_valley
mixed,6,35-40,F,test,255,35,220,peak_valley
mixed,6,35-40,M,train,204,19,185,peak_valley
mixed,6,35-40,M,val,51,5,46,peak_valley
mixed,6,35-40,M,test,255,15,240,peak_valley
