sex,source_label,age_bin_label,count,mae,mse
F,generated_test,5-10,202,3.8168316831683167,43.12128712871287
F,generated_test,10-15,180,9.227777777777778,120.85
F,generated_test,15-20,247,10.196356275303645,129.6184210526316
F,generated_test,20-25,182,8.675824175824175,115.77747252747253
F,generated_test,25-30,128,5.2421875,70.546875
F,generated_test,30-35,128,7.0390625,61.4375
F,generated_test,35-40,220,7.013636363636364,54.83181818181818
F,generated_test,40-45,254,5.496062992125984,66.1240157480315
F,generated_test,45-50,254,6.574803149606299,75.32874015748031
F,generated_test,50-55,253,7.270750988142293,69.98913043478261
F,generated_test,55-60,190,3.973684210526316,33.69210526315789
F,generated_test,60-65,161,3.87888198757764,22.47360248447205
F,generated_test,65-70,127,7.751968503937008,79.80905511811024
F,generated_test,70-75,127,11.492125984251969,151.63582677165354
F,generated_test,75-80,128,15.3671875,265.1875
F,generated_test,80-85,128,17.25,322.234375
F,generated_test,85-90,128,17.3046875,327.640625
F,generated_test,90-95,237,12.744725738396625,226.1993670886076
F,generated_test,95-100,252,7.317460317460317,113.67857142857143
F,generated_test,100-105,254,2.216535433070866,23.62795275590551
F,real_test,5-10,53,3.0566840711629615,16.746826554843814
F,real_test,10-15,75,3.5271902720133466,33.30185405024924
F,real_test,15-20,8,7.400833368301392,63.13058030768525
F,real_test,20-25,73,4.95049453108278,26.878884363518424
F,real_test,25-30,127,1.830740951177642,19.261382940352547
F,real_test,30-35,127,4.437007874015748,29.242125984251967
F,real_test,35-40,35,7.671428571428572,58.99285714285714
F,real_test,40-45,1,0.8800010681152344,0.7744018798839534
F,real_test,45-50,1,21.5,462.25
F,real_test,50-55,2,15.850000381469727,252.54501121521025
F,real_test,55-60,64,11.595312535762787,169.67015621900669
F,real_test,60-65,94,9.235106326164082,243.58500309558843
F,real_test,65-70,127,6.781890268400898,251.67567867249448
F,real_test,70-75,127,6.837795227531373,200.65055046742873
F,real_test,75-80,127,7.2370077418530085,144.27849705974475
F,real_test,80-85,127,6.971654336283526,160.81197999729446
F,real_test,85-90,127,8.318897097129522,244.37864546408267
F,real_test,90-95,18,9.43888939751519,124.96055480957472
F,real_test,95-100,2,13.450000762939453,180.9250198364316
M,generated_test,5-10,145,2.1413793103448278,13.51896551724138
M,generated_test,10-15,128,7.6171875,102.421875
M,generated_test,15-20,192,11.1875,183.17708333333334
M,generated_test,20-25,128,9.8671875,153.875
M,generated_test,25-30,128,8.234375,121.90625
M,generated_test,30-35,128,8.015625,85.15625
M,generated_test,35-40,240,6.858333333333333,55.958333333333336
M,generated_test,40-45,249,4.4397590361445785,52.37048192771084
M,generated_test,45-50,251,6.6673306772908365,66.80776892430279
M,generated_test,50-55,254,7.169291338582677,83.46259842519684
M,generated_test,55-60,246,3.4227642276422765,35.30691056910569
M,generated_test,60-65,217,3.9377880184331797,55.79838709677419
M,generated_test,65-70,128,7.7421875,101.0
M,generated_test,70-75,127,12.437007874015748,205.1003937007874
M,generated_test,75-80,127,15.618110236220472,287.32086614173227
M,generated_test,80-85,128,17.9921875,339.625
M,generated_test,85-90,127,15.972440944881889,272.4704724409449
M,generated_test,90-95,203,10.770935960591133,128.3386699507389
M,generated_test,95-100,255,5.719607843137255,45.944117647058825
M,generated_test,100-105,254,1.7125984251968505,6.25
M,real_test,5-10,110,3.2547642014243388,16.4091288839952
M,real_test,10-15,127,2.5916127107274813,16.252567597523075
M,real_test,15-20,62,6.699875277857626,112.90063533249022
M,real_test,20-25,127,7.111395543015848,105.54138667072789
M,real_test,25-30,127,3.1351892366184027,50.18554104643362
M,real_test,30-35,127,5.9154386295108345,73.56754840076137
M,real_test,35-40,15,10.936840057373047,154.8127783748137
M,real_test,40-45,6,21.0,499.5833333333333
M,real_test,45-50,3,19.833333333333332,394.9166666666667
M,real_test,50-55,1,13.5,182.25
M,real_test,55-60,9,12.044444613986546,152.04889104207462
M,real_test,60-65,38,12.671052731965718,341.83131698207006
M,real_test,65-70,127,7.420472873477485,181.67622397355663
M,real_test,70-75,127,5.31338579072727,75.25936999704412
M,real_test,75-80,127,5.719685111458846,43.47370035247052
M,real_test,80-85,127,4.903936911755659,35.26550829790232
M,real_test,85-90,127,4.252755833423044,36.29661491334321
M,real_test,90-95,52,5.888462506807768,52.88231859060761
